country,score
Denmark,90
Finland,87
New Zealand,85
Norway,84
Singapore,83
Sweden,82
Switzerland,82
Netherlands,79
Germany,78
Luxembourg,78
Ireland,77
Canada,76
Estonia,76
Australia,75
Hong Kong,75
Belgium,73
Japan,73
Uruguay,73
Iceland,72
Austria,71
France,71
Seychelles,71
United Kingdom,71
Barbados,69
United States of America,69
Bhutan,68
United Arab Emirates,68
Taiwan,67
Chile,66
Bahamas,64
Cabo Verde,64
South Korea,63
Israel,62
Lithuania,61
Portugal,61
Latvia,60
Saint Vincent and the Grenadines,60
Spain,60
Botswana,59
Qatar,58
Czechia,57
Dominica,56
Italy,56
Slovenia,56
Costa Rica,55
Saint Lucia,55
Poland,54
Slovakia,54
Cyprus,53
Georgia,53
Grenada,53
Rwanda,53
Fiji,52
Saudi Arabia,52
Malta,51
Mauritius,51
Croatia,50
Malaysia,50
Greece,49
Namibia,49
Vanuatu,48
Armenia,47
Jordan,46
Kuwait,46
Montenegro,46
Romania,46
Bulgaria,45
Sao Tome and Principe,45
Jamaica,44
Benin,43
Ghana,43
Oman,43
Senegal,43
Solomon Islands,43
Timor-Leste,43
Bahrain,42
China,42
Cuba,42
Hungary,42
Moldova,42
North Macedonia,42
Trinidad and Tobago,42
Burkina Faso,41
Kosovo,41
South Africa,41
Vietnam,41
Colombia,40
C̫te d'Ivoire,40
Guyana,40
Suriname,40
Tanzania,40
Tunisia,40
India,39
Kazakhstan,39
Lesotho,39
Maldives,39
Morocco,38
Albania,37
Argentina,37
Belarus,37
Ethiopia,37
Gambia,37
Zambia,37
Algeria,36
Brazil,36
Serbia,36
Ukraine,36
Bosnia and Herzegovina,35
Dominican Republic,35
Egypt,35
Nepal,35
Panama,35
Sierra Leone,35
Thailand,35
Ecuador,34
Indonesia,34
Malawi,34
Philippines,34
Sri Lanka,34
Turkey,34
Angola,33
Mongolia,33
Peru,33
Uzbekistan,33
Niger,32
El Salvador,31
Kenya,31
Mexico,31
Togo,31
Djibouti,30
Eswatini,30
Mauritania,30
Bolivia,29
Pakistan,29
Papua New Guinea,29
Gabon,28
Laos,28
Mali,28
Paraguay,28
Cameroon,27
Guinea,26
Kyrgyzstan,26
Russia,26
Uganda,26
Liberia,25
Madagascar,25
Mozambique,25
Nigeria,25
Bangladesh,24
Central African Republic,24
Iran,24
Lebanon,24
Zimbabwe,24
Azerbaijan,23
Guatemala,23
Honduras,23
Iraq,23
Cambodia,22
Congo,22
Guinea-Bissau,22
Eritrea,21
Afghanistan,20
Burundi,20
Chad,20
Comoros,20
Democratic Republic of the Congo,20
Myanmar,20
Sudan,20
Tajikistan,20
Libya,18
Turkmenistan,18
Equatorial Guinea,17
Haiti,17
Nicaragua,17
North Korea,17
Yemen,16
South Sudan,13
Syria,13
Venezuela,13
Somalia,11
